term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2007-06-30,25600,,,
36 months,A,2007-06-30,25600,2010-08-31,637,38
36 months,A,2007-07-31,72750,,,
36 months,A,2007-08-31,76850,,,
36 months,A,2007-08-31,76850,2010-06-30,632,34
36 months,A,2007-09-30,34500,,,
36 months,A,2007-10-31,47700,,,
36 months,A,2007-11-30,66950,,,
36 months,A,2007-12-31,66850,,,
36 months,A,2007-12-31,66850,2009-11-30,1114,23
36 months,A,2007-12-31,66850,2010-03-31,816,27
36 months,A,2008-01-31,284525,,,
36 months,A,2008-01-31,284525,2009-10-31,1899,21
36 months,A,2008-01-31,284525,2010-07-31,597,30
36 months,A,2008-01-31,284525,2010-08-31,10239,31
36 months,A,2008-01-31,284525,2011-03-31,894,38
36 months,A,2008-02-29,189500,,,
36 months,A,2008-03-31,220650,,,
36 months,A,2008-03-31,220650,2009-09-30,5561,18
36 months,A,2008-03-31,220650,2009-10-31,6416,19
36 months,A,2008-03-31,220650,2010-08-31,5049,29
36 months,A,2008-04-30,155675,,,
36 months,A,2008-04-30,155675,2011-01-31,8299,33
36 months,A,2008-05-31,112625,,,
36 months,A,2008-05-31,112625,2011-08-31,2372,39
36 months,A,2008-06-30,95850,,,
36 months,A,2008-07-31,138900,,,
36 months,A,2008-07-31,138900,2010-09-30,4567,26
36 months,A,2008-07-31,138900,2010-12-31,3041,29
36 months,A,2008-08-31,48300,,,
36 months,A,2008-09-30,47500,,,
36 months,A,2008-10-31,129350,,,
36 months,A,2008-10-31,129350,2009-09-30,9214,11
36 months,A,2008-10-31,129350,2010-02-28,7088,16
36 months,A,2008-10-31,129350,2010-07-31,4074,21
36 months,A,2008-11-30,200150,,,
36 months,A,2008-11-30,200150,2009-09-30,2708,10
36 months,A,2008-11-30,200150,2010-03-31,2264,16
36 months,A,2008-12-31,359550,,,
36 months,A,2008-12-31,359550,2011-09-30,653,33
36 months,A,2008-12-31,359550,2012-02-29,6152,38
36 months,A,2009-01-31,446050,,,
36 months,A,2009-01-31,446050,2010-03-31,7750,14
36 months,A,2009-01-31,446050,2010-08-31,18870,19
36 months,A,2009-01-31,446050,2010-12-31,1610,23
36 months,A,2009-01-31,446050,2011-07-31,834,30
36 months,A,2009-01-31,446050,2011-09-30,2784,32
36 months,A,2009-02-28,434300,,,
36 months,A,2009-02-28,434300,2010-02-28,8278,12
36 months,A,2009-02-28,434300,2010-05-31,9317,15
36 months,A,2009-02-28,434300,2011-07-31,3902,29
36 months,A,2009-02-28,434300,2012-05-31,279,39
36 months,A,2009-03-31,541000,,,
36 months,A,2009-03-31,541000,2010-05-31,4633,14
36 months,A,2009-03-31,541000,2010-07-31,1779,16
36 months,A,2009-03-31,541000,2010-10-31,5636,19
36 months,A,2009-03-31,541000,2011-04-30,3019,25
36 months,A,2009-03-31,541000,2011-08-31,6533,29
36 months,A,2009-03-31,541000,2012-03-31,2668,36
36 months,A,2009-04-30,691400,,,
36 months,A,2009-04-30,691400,2010-05-31,6375,13
36 months,A,2009-04-30,691400,2010-06-30,9489,14
36 months,A,2009-04-30,691400,2010-08-31,11950,16
36 months,A,2009-04-30,691400,2010-10-31,7648,18
36 months,A,2009-04-30,691400,2010-11-30,2905,19
36 months,A,2009-05-31,525200,,,
36 months,A,2009-05-31,525200,2011-01-31,743,20
36 months,A,2009-05-31,525200,2011-05-31,7635,24
36 months,A,2009-05-31,525200,2011-06-30,2012,25
36 months,A,2009-05-31,525200,2011-07-31,5438,26
36 months,A,2009-05-31,525200,2012-07-31,3433,38
36 months,A,2009-05-31,525200,2012-08-31,448,39
36 months,A,2009-06-30,671600,,,
36 months,A,2009-06-30,671600,2010-05-31,10236,11
36 months,A,2009-06-30,671600,2010-08-31,7768,14
36 months,A,2009-06-30,671600,2010-09-30,7186,15
36 months,A,2009-06-30,671600,2011-06-30,6768,24
36 months,A,2009-06-30,671600,2011-08-31,3329,26
36 months,A,2009-06-30,671600,2012-01-31,4096,31
36 months,A,2009-07-31,670300,,,
36 months,A,2009-07-31,670300,2010-08-31,4420,13
36 months,A,2009-07-31,670300,2010-09-30,3106,14
36 months,A,2009-07-31,670300,2011-02-28,7933,19
36 months,A,2009-07-31,670300,2011-09-30,4891,26
36 months,A,2009-07-31,670300,2012-02-29,1788,31
36 months,A,2009-07-31,670300,2012-03-31,3702,32
36 months,A,2009-07-31,670300,2012-10-31,754,39
36 months,A,2009-08-31,794225,,,
36 months,A,2009-08-31,794225,2011-05-31,8492,21
36 months,A,2009-08-31,794225,2012-01-31,3671,29
36 months,A,2009-08-31,794225,2012-02-29,1461,30
36 months,A,2009-09-30,932800,,,
36 months,A,2009-09-30,932800,2010-09-30,6276,12
36 months,A,2009-09-30,932800,2010-12-31,2616,15
36 months,A,2009-09-30,932800,2011-04-30,6701,19
36 months,A,2009-09-30,932800,2011-09-30,4860,24
36 months,A,2009-09-30,932800,2012-01-31,7601,28
36 months,A,2009-09-30,932800,2012-02-29,3100,29
36 months,A,2009-09-30,932800,2012-06-30,2547,33
36 months,A,2009-09-30,932800,2012-07-31,1485,34
36 months,A,2009-10-31,915925,,,
36 months,A,2009-10-31,915925,2010-07-31,1578,9
36 months,A,2009-10-31,915925,2010-08-31,16432,10
36 months,A,2009-10-31,915925,2010-09-30,4766,11
36 months,A,2009-10-31,915925,2011-03-31,3483,17
36 months,A,2009-10-31,915925,2011-05-31,6499,19
36 months,A,2009-10-31,915925,2012-03-31,3647,29
36 months,A,2009-10-31,915925,2012-07-31,3331,33
36 months,A,2009-10-31,915925,2012-11-30,634,37
36 months,A,2009-11-30,1020700,,,
36 months,A,2009-11-30,1020700,2010-11-30,3634,12
36 months,A,2009-11-30,1020700,2011-01-31,1201,14
36 months,A,2009-11-30,1020700,2011-03-31,2345,16
36 months,A,2009-11-30,1020700,2011-08-31,6459,21
36 months,A,2009-11-30,1020700,2011-11-30,2522,24
36 months,A,2009-11-30,1020700,2012-01-31,4007,26
36 months,A,2009-11-30,1020700,2012-07-31,2716,32
36 months,A,2009-11-30,1020700,2012-08-31,1669,33
36 months,A,2009-11-30,1020700,2013-01-31,480,38
36 months,A,2009-12-31,1057175,,,
36 months,A,2009-12-31,1057175,2010-12-31,10329,12
36 months,A,2009-12-31,1057175,2011-03-31,4497,15
36 months,A,2009-12-31,1057175,2011-04-30,8483,16
36 months,A,2009-12-31,1057175,2011-09-30,6144,21
36 months,A,2009-12-31,1057175,2013-03-31,329,39
36 months,A,2010-01-31,1094050,,,
36 months,A,2010-01-31,1094050,2011-01-31,16149,12
36 months,A,2010-01-31,1094050,2011-07-31,14637,18
36 months,A,2010-01-31,1094050,2011-08-31,3620,19
36 months,A,2010-01-31,1094050,2012-03-31,2128,26
36 months,A,2010-01-31,1094050,2013-02-28,2498,37
36 months,A,2010-02-28,1032850,,,
36 months,A,2010-02-28,1032850,2011-11-30,2927,21
36 months,A,2010-02-28,1032850,2012-08-31,3986,30
36 months,A,2010-02-28,1032850,2012-12-31,698,34
36 months,A,2010-03-31,1251950,,,
36 months,A,2010-03-31,1251950,2010-12-31,6302,9
36 months,A,2010-03-31,1251950,2011-07-31,2990,16
36 months,A,2010-03-31,1251950,2011-12-31,1829,21
36 months,A,2010-03-31,1251950,2013-06-30,143,39
36 months,A,2010-04-30,1241600,,,
36 months,A,2010-04-30,1241600,2012-11-30,3161,31
36 months,A,2010-04-30,1241600,2013-02-28,2146,34
36 months,A,2010-04-30,1241600,2013-04-30,1283,36
36 months,A,2010-05-31,1300125,,,
36 months,A,2010-05-31,1300125,2011-01-31,7599,8
36 months,A,2010-05-31,1300125,2011-04-30,2544,11
36 months,A,2010-05-31,1300125,2011-08-31,3088,15
36 months,A,2010-05-31,1300125,2011-10-31,860,17
36 months,A,2010-05-31,1300125,2012-01-31,3037,20
36 months,A,2010-05-31,1300125,2012-05-31,848,24
36 months,A,2010-05-31,1300125,2012-07-31,5803,26
36 months,A,2010-05-31,1300125,2012-10-31,1888,29
36 months,A,2010-06-30,1694450,,,
36 months,A,2010-06-30,1694450,2011-05-31,10109,11
36 months,A,2010-06-30,1694450,2011-11-30,1861,17
36 months,A,2010-06-30,1694450,2011-12-31,11066,18
36 months,A,2010-06-30,1694450,2012-03-31,13501,21
36 months,A,2010-06-30,1694450,2012-08-31,4010,26
36 months,A,2010-06-30,1694450,2013-02-28,754,32
36 months,A,2010-06-30,1694450,2013-03-31,2487,33
36 months,A,2010-06-30,1694450,2013-10-31,831,40
36 months,A,2010-06-30,1694450,2013-11-30,52,41
36 months,A,2010-06-30,1694450,2013-12-31,215,42
36 months,A,2010-07-31,2052950,,,
36 months,A,2010-07-31,2052950,2011-07-31,8233,12
